idx,pre,post,sections,type
1,PVNL,PQR,1,chemical
2,PVNL,hyp,1,chemical
3,g0,PVCR,1,chemical
4,g0,PVCR,1,chemical
5,gx,r30,1,chemical
6,gx,r30,1,chemical
7,gx,r30,3,chemical
8,RID,hyp,1,chemical
9,RID,hyp,1,chemical
10,DA09,DD06,2,chemical
11,DA09,dBWML,2,chemical
12,PDA,dBWML,1,chemical
13,PDA,DD06,1,chemical
14,RID,[AS11],1,chemical
15,RID,DD06,1,chemical
16,RID,DD06,1,chemical
17,PDA,DD06,1,chemical
18,PDA,DD06,1,chemical
19,DA09,DD06,2,chemical
20,DA09,dBWML,2,chemical
21,PDB,dBWML,1,chemical
22,PDB,DD06,1,chemical
23,PDB,DD06,1,chemical
24,PDB,dBWML,1,chemical
25,[AS11],dBWML,1,chemical
26,[AS11],DD06,1,chemical
27,[AS11],dBWMR,2,chemical
28,[AS11],DD06,2,chemical
29,[AS11],[VD13],2,chemical
30,[VD13],dBWMR,2,chemical
31,[VD13],DD06,2,chemical
32,[DB08],[VD13],1,chemical
33,[DB08],dBWMR,1,chemical
34,[DB08],DD06,1,chemical
35,[VD13],dBWMR,1,chemical
36,[VD13],DD06,1,chemical
37,[VD13],[DB08],1,chemical
38,DA09,[DB08],2,chemical
39,DA09,dBWML,2,chemical
40,[AS11],dBWML,1,chemical
41,[AS11],[DB08],1,chemical
42,PHBR,PVCR,3,chemical
43,PHBR,AVAL,3,chemical
44,PHCR,DVA,1,chemical
45,PHCR,AVHR,1,chemical
46,PHCR,DVA,2,chemical
47,PHBR,PVCR,2,chemical
48,PHBR,PHCR,2,chemical
49,PHBR,AVAL,2,chemical
50,PHCL,AVAL,3,chemical
51,PHCL,PVCL,3,chemical
52,PHCR,DVA,1,chemical
53,PHCR,AVHR,1,chemical
54,PHBR,PVCR,1,chemical
55,PHBR,PHCR,1,chemical
56,PHCR,DVA,4,chemical
57,PHBR,PVCR,2,chemical
58,PHCL,AVAL,2,chemical
59,PHCL,PVCL,2,chemical
60,PVNR,hyp,1,chemical
61,PVNR,PVWL,1,chemical
62,PVNR,PVWL,1,chemical
63,PVNR,PQR,1,chemical
64,PVNR,hyp,2,chemical
65,PVNR,PVWL,2,chemical
66,PVNR,PQR,2,chemical
67,DVB,DA08,5,chemical
68,DVB,hyp,5,chemical
69,PHCR,DA09,2,chemical
70,PHCR,DVA,2,chemical
71,PHCR,DVA,1,chemical
72,PHCR,PHAR,1,chemical
73,PHCR,DA09,1,chemical
74,PHCR,DVA,1,chemical
75,PVNL,PVCL,4,chemical
76,PVNL,AVAL,4,chemical
77,PHAL,AVG,1,chemical
78,PHAL,DVA,1,chemical
79,PHCR,DA09,1,chemical
80,PHCR,PVCR,1,chemical
81,PHBL,AVAL,2,chemical
82,PHBL,PVCL,2,chemical
83,PHBL,AVAL,7,chemical
84,PHBL,PVCL,7,chemical
85,PHCR,DA09,6,chemical
86,PHCR,PVCR,6,chemical
87,PHBL,AVAL,1,chemical
88,PHBL,PVCL,1,chemical
89,PHBR,AVAL,1,chemical
90,PHBR,PVCL,1,chemical
91,PHAR,DVA,1,chemical
92,PHAR,AVG,1,chemical
93,PHAR,DVA,1,chemical
94,PHAR,DA08,2,chemical
95,PHAR,AVG,2,chemical
96,PHAR,DVA,2,chemical
97,PHCR,DA09,1,chemical
98,PHCR,PVCR,1,chemical
99,DVB,DA08,2,chemical
100,DVB,hyp,2,chemical
101,PHCR,PVCR,4,chemical
102,PHCR,LUAR,4,chemical
103,PHAR,DVA,1,chemical
104,LUAR,PVR,2,chemical
105,LUAR,PDB,2,chemical
106,PHCR,DA09,1,chemical
107,PHCR,PVCR,1,chemical
108,PHCR,LUAR,1,chemical
109,PHCL,PVQR,1,chemical
110,PHCL,DVA,1,chemical
111,PHCL,DA09,1,chemical
112,PHCR,PVCR,1,chemical
113,PHCR,LUAR,1,chemical
114,PHCL,PVQR,1,chemical
115,PHCL,DVA,1,chemical
116,PHCR,PVQR,4,chemical
117,PHCR,DVA,4,chemical
118,PHCR,DA09,4,chemical
119,VA12,PVCR,1,chemical
120,VA12,PHCR,1,chemical
121,PHBL,AVAL,4,chemical
122,PHBL,PVCL,4,chemical
123,PHCR,DVA,2,chemical
124,PHCR,VA12,2,chemical
125,PHCR,PHCL,1,chemical
126,PHCR,DVA,1,chemical
127,PHCR,VA12,1,chemical
128,PHBR,PHCL,1,chemical
129,PHBR,AVAL,1,chemical
130,PHBR,PHBL,1,chemical
131,PHCR,PHCL,1,chemical
132,PHCR,DVA,1,chemical
133,PHCR,VA12,1,chemical
134,PHCR,VA12,4,chemical
135,PHCR,PVCR,4,chemical
136,PHCR,PHCL,1,chemical
137,PHCR,DVA,1,chemical
138,PHAL,PVQL,1,chemical
139,PHAL,PHAR,1,chemical
140,AVAR,PVCR,5,chemical
141,AVAR,LUAR,5,chemical
142,PHCL,DVA,5,chemical
143,PHCL,VA12,5,chemical
144,LUAR,AVJR,4,chemical
145,LUAR,AVAR,4,chemical
146,PHCL,DVA,1,chemical
147,PHCL,VA12,1,chemical
148,LUAR,AVAR,4,chemical
149,LUAR,PVCR,4,chemical
150,DVB,AVL,5,chemical
151,DVB,PVPL,5,chemical
152,PHBL,AVAL,4,chemical
153,PHBL,PVCL,4,chemical
154,bl11,vBWM,1,chemical
155,AVAL,DA07,1,chemical
156,AVAL,VA10,1,chemical
157,AVAL,AS10,1,chemical
158,PQR,AVDR,1,chemical
159,PQR,AVAR,1,chemical
160,PQR,AVDL,1,chemical
161,PVWR,AVDR,1,chemical
162,AVFL,AVBL,1,chemical
163,AVFL,AS10,1,chemical
164,DVA,VB11,1,chemical
165,DVA,VA12,1,chemical
166,PHAL,PVQL,2,chemical
167,PHAL,PHAR,2,chemical
168,AVBR,AS10,1,chemical
169,VB10,DD06,1,chemical
170,VB10,vBWM,1,chemical
171,VB10,PVT,1,chemical
172,VB10,DD06,1,chemical
173,VB10,vBWM,1,chemical
174,PVCL,bl15,2,chemical
175,PVCL,DB07,2,chemical
176,PVCL,DA08,2,chemical
177,VA11,DD06,2,chemical
178,VA11,vBWM,2,chemical
179,AVAR,DA07,1,chemical
180,AVAR,VA10,1,chemical
181,PVQL,PVPL,1,chemical
182,AVDR,AVAR,1,chemical
183,AVDR,AS10,1,chemical
184,AVDR,PQR,1,chemical
185,LUAR,AVAR,5,chemical
186,LUAR,PVCR,5,chemical
187,AVDR,AVAR,1,chemical
188,AVDR,AS10,1,chemical
189,AVAL,AS10,3,chemical
190,AVAL,VA10,3,chemical
191,VB10,DD06,1,chemical
192,VB10,vBWM,1,chemical
193,PHBL,VA12,1,chemical
194,PHBL,AVAR,1,chemical
195,VA11,DD06,1,chemical
196,VA11,vBWM,1,chemical
197,VA11,VD11,1,chemical
198,VA11,DD06,1,chemical
199,VA11,vBWM,1,chemical
200,VD11,VA11,1,chemical
201,AVDL,AS10,1,chemical
202,AVDL,DA08,1,chemical
203,AVDL,VA10,1,chemical
204,VB10,DD06,1,chemical
205,VB10,vBWM,1,chemical
206,VB10,VD11,1,chemical
207,VB10,DD06,1,chemical
208,VB10,vBWM,1,chemical
209,VB10,DD06,1,chemical
210,VB10,vBWM,1,chemical
211,VA11,DD06,1,chemical
212,VA11,vBWM,1,chemical
213,PDER,DVA,1,chemical
214,AVBR,AVDL,1,chemical
215,AVBR,AVAL,1,chemical
216,VD11,vBWM,1,chemical
217,LUAL,AVAL,4,chemical
218,LUAL,AVAR,4,chemical
219,PQR,AVAR,1,chemical
220,PQR,AVAL,1,chemical
221,VB10,VA11,1,chemical
222,VB10,VD11,1,chemical
223,VB10,vBWM,1,chemical
224,VA11,VD11,1,chemical
225,VA11,vBWM,1,chemical
226,PVNL,AVAL,1,chemical
227,PVNL,AVBR,1,chemical
228,VD11,vBWM,1,chemical
229,VD11,VB10,1,chemical
230,VC06,VD11,2,chemical
231,VC06,PVNR,2,chemical
232,VB10,DD06,2,chemical
233,VB10,vBWM,2,chemical
234,VA11,DD06,1,chemical
235,VA11,vBWM,1,chemical
236,VA11,VB10,1,chemical
237,PVCR,PDEL,1,chemical
238,PVCR,bl15,1,chemical
239,VA11,DD06,1,chemical
240,VA11,vBWM,1,chemical
241,DVB,DA08,2,chemical
242,DVB,intL,2,chemical
243,VD11,vBWM,1,chemical
244,VD11,AVAR,1,chemical
245,VD11,PVT,1,chemical
246,AVAR,DA07,1,chemical
247,AVAR,DA08,1,chemical
248,AVAR,VA10,1,chemical
249,AVAR,DA07,1,chemical
250,AVAR,DA08,1,chemical
251,VA11,VD11,1,chemical
252,VA11,vBWM,1,chemical
