I5       A    1    1   G/R  I1      -  -
I5       A    2    2   R    M1      -  -
I5       A    3    3   S    M4      -  -
I5       B    4    4   S    M1      -  -
I5       B    4    5   S    M4      -  -
I5       C    5    6   S    M4      -  -
I5       C    6    7   S    NSM     v  -
I5       C    6    8   S    I4      v  -
I5       C    7    9   S    M4      -  -
I5       C    8   10   S    M4      -  -
I5       C    8   10   S    M3      -  -
I5       C    9   11   S    g1      -  -
I5       C   10   12   M    m5      -  -
I5       D   11   13   G    M5      -  -
I5       G   12   14   S    M4      -  -
I5       H   13   15   S    M4      -  -
I5       H   14   16   S    NSM     v  -
I5       H   14   17   S    I4      v  -
I5       H   15   18   S    M4      -  -
I5       H   16   19   S    M4      -  -
I5       H   16   19   S    M3      -  -
I5       H   17   20   M    M5      -  -
I5       H   18   21   M    m5      -  -
I5       H   18   21   M    g1      -  -
I5       I   19   22   G    M5      -  -
