RID      A    1    1   S  RMED     -  -
RID      A    2    2   G  RID      -  wf6
RID      A    3    3   -  AVBL     -  wf8
RID      A    4    4   R  AVM      *  -
RID      A    5    5   R  PVCR     -  -
RID      A    6    6   R  PVCR     *  -
RID      A    7    6   R  PVCR     *  -
RID      A    8    7   G  AVBR     -  -
RID      A    9    8   R  PVCL     -  -
RID      A   10    9   R  PVCR     -  -
RID      A   11   10   R  PVCL     *  -
RID      A   12   11   R  PVCR     *  -
RID      A   13   12   R  PVCL     *  -
RID      A   14   13   -  PVCL     *  wf12
RID      A   14   14   R  PVCL     *  wf10
RID      B   15   15   R  AINR     -  -
RID      A    2    2   G  RID      -  wf6
RID      C   16   16   G  ALA      -  -
