RMDR     A    1    1   G  RMDVR    -  -
RMDR     A    2    2   R  SVPL     *  wf24
RMDR     A    3    3   S  RIAR     -  -
RMDR     A    4    3   S  RIAR     -  -
RMDR     A    5    4   S  AVKL     -  -
RMDR     A    6    5   R  RIS      -  -
RMDR     A    7    6   R  RIAR     *  -
RMDR     A    8    7   S  NMJ      -  -
RMDR     A    9    8   S  NMJ      -  -
RMDR     A   10    9   R  RIS      *  -
RMDR     A   11   10   S  RIAL     -  -
RMDR     A   12   10   S  RIAL     -  -
RMDR     A   13   11   S  RMDDL    -  -
RMDR     A   14   12   S  RIAR     -  -
RMDR     A   14   12   S  RIAL     -  -
RMDR     A   15   13   R  IL2L     -  -
RMDR     A   16   14   R  IL1L     *  -
RMDR     A   17   14   R  IL1L     *  -
RMDR     A   18   15   R  RMGL     *  -
RMDR     A   19   16   R  RIAR     *  -
RMDR     A   20   17   R  RMGL     *  -
RMDR     A   21   18   R  RIAR     *  -
RMDR     A   22   19   S  RIAR     -  -
RMDR     A   22   19   S  RMDL     -  -
RMDR     A   23   20   S  RIAR     -  -
RMDR     A   24   21   R  RIAL     *  -
RMDR     A   25   22   S  RIAR     -  -
RMDR     A   25   22   S  RIAL     -  -
RMDR     A   26   23   R  RIAL     -  -
RMDR     A   27   24   R  RMGL     -  -
RMDR     A   28   25   S  NMJ      -  -
RMDR     A   29   25   S  NMJ      -  -
RMDR     A   30   26   R  RIS      *  -
RMDR     A   31   27   R  RIAR     *  -
RMDR     A   32   28   R  RIAL     *  -
RMDR     A   33   29   R  RIS      *  -
RMDR     A   34   30   R  RIAR     -  -
RMDR     A   35   31   R  RMFL     *  -
RMDR     A   36   32   R  RIAR     *  -
RMDR     A   37   33   R  RIML     *  -
RMDR     A   38   34   R  RIS      *  -
RMDR     A   39   35   R  RMFL     *  -
RMDR     A   40   36   R  RMGR     *  -
RMDR     A   41   37   R  ADER     *  -
RMDR     A   42   38   R  RMHL     *  -
RMDR     A   43   39   R  IL1R     *  -
RMDR     A   44   40   R  ADER     *  -
RMDR     A   45   41   R  RMGR     -  -
RMDR     A   46   42   R  URBR     *  -
RMDR     A   47   43   R  RMDL     *  -
RMDR     A   48   43   R  RMDL     *  -
RMDR     A   49   44   R  IL1R     *  -
RMDR     A   50   45   R  ALA      *  -
RMDR     A   51   46   R  URXR     *  -
RMDR     A   52   47   S  RIAL     -  -
RMDR     A   52   47   S  RIAR     -  -
RMDR     A   53   48   R  RIAR     *  -
RMDR     A   54   49   R  RIAL     -  -
RMDR     A   55   50   R  RIS      *  -
RMDR     A   56   51   R  RIML     -  -
RMDR     A   57   52   R  RMFL     *  -
