RMED     A    1    1   R  RID      -  -
RMED     B    2    2   S  RIBL     -  -
RMED     B    2    2   S  RIBR     -  -
RMED     B    3    3   G  IL1VL    -  -
RMED     C    4    4   S  NMJ      -  -
RMED     C    5    4   S  NMJ      -  -
RMED     C    6    4   S  NMJ      -  -
RMED     C    7    4   S  NMJ      -  -
RMED     D    8    5   G  RIPL     -  -
RMED     D    9    6   G  RMEV     -  -
RMED     D   10    7   G  GLRDL    -  -
RMED     E   11    8   R  SMBDR    *  -
RMED     E   12    8   R  SMBDR    *  -
RMED     E   13    8   R  SMBDR    *  -
RMED     F   14    9   S  NMJ      -  -
RMED     F   15    9   S  NMJ      -  -
RMED     F   16    9   S  NMJ      -  -
RMED     F   17   10   S  NMJ      -  -
RMED     F   18   10   S  NMJ      -  -
RMED     F   19   10   S  NMJ      -  -
RMED     F   20   11   G  RIPR     -  -
RMED     F   21   12   G  RMEV     -  -
RMED     F   22   13   R  URADR    *  -
RMED     F   23   14   R  IL2DR    *  wf21
RMED     F   24   15   G  GLRDR    -  -
RMED     G   25   16   R  SMBDL    *  -
RMED     G   26   16   R  SMBDL    *  -
RMED     G   27   16   R  SMBDL    *  -
RMED     G   28   17   R  SMBDR    *  -
